year,Moscow,London,Madrid,Barcelona,Saint Petersburg,Berlin,Rome,Athens,Milan,Stuttgart,Frankfurt,Lisbon,Katowice,Kyiv,Vienna,Mannheim,Birmingham,Naples,Manchester,Bucharest,Minsk,Hamburg,Brussels,Essen,Warsaw,Budapest,Turin,Leeds,Florence,Kharkiv,The Hague,Novosibirsk,Porto,Yekaterinburg,Sheffield,Nizhniy Novgorod,Duisburg,Munich,Stockholm,Geneva,Dusseldorf,Sevilla,Sofia,Prague,Glasgow,Samara,Omsk,Helsinki,Kazan',Zurich,Belgrade,Chelyabinsk,Copenhagen,Dublin,Rostov-na-Donu,Dnipro,Amsterdam,Ufa,Rotterdam,Cologne,Tirana,Riga,Zagreb,Sarajevo,Chisinau,Vilnius,Skopje,Bratislava,Tallinn,Valletta,Ljubljana,Bern,Reykjavik,Podgorica,Luxembourg,Andorra la Vella,Monaco,Vaduz,San Marino,Perm',Odesa,Donets'k,Volgograd,Salerno,Krasnoyarsk,Antwerp,Newcastle upon Tyne,Bilbao,Palermo,Caerdydd,Voronezh,Saratov,Basel,Thessaloniki,Braga,Nottingham,Liverpool,Valencia,L'viv,Zaporizhzhya,Wuppertal,Saarbrucken,Lodz,Krakow,Liege,Gdansk,Nuremberg,Bremen,Hannover,Tol'yatti,Bonn,Catania,Bytom,Kryvyy Rih,Krasnodar,Zaragoza,Genoa,Ul'yanovsk,Utrecht,Wroclaw,Izhevsk,Poznan,Southend-on-Sea,Dresden,Wiesbaden,Yaroslavl',Barnaul,Dortmund,Vladivostok,Irkutsk,Khabarovsk,Makhachkala,Bristol,Orenburg,Malaga,Leipzig,Novokuznetsk,Goteborg
1980,3.4685792349726774,9.561448087431694,14.12811475409836,14.711967213114743,3.423196721311476,7.848852459016395,14.255710382513664,17.04464480874317,12.425,8.387349726775955,8.860273224043716,15.741120218579235,7.076803278688524,6.165601092896175,8.580928961748635,9.233251366120218,9.19355191256831,15.400300546448088,8.55051912568306,9.938142076502732,4.255218579234973,7.974180327868853,9.336311475409836,9.021639344262296,6.745273224043716,8.907131147540984,10.806666666666667,8.517103825136612,11.742978142076504,5.877076502732241,9.660081967213113,0.970737704918033,14.521120218579235,1.046174863387979,8.379726775956282,3.4231420765027325,9.299098360655735,7.626338797814207,5.3616120218579235,7.5660928961748635,9.176967213114752,18.16729508196721,8.316147540983607,7.538579234972677,8.107267759562841,3.960437158469944,0.9728961748633874,4.097814207650273,2.880601092896175,7.97808743169399,10.875628415300545,1.5177049180327873,7.2046448087431685,9.41103825136612,8.349398907103824,7.454699453551913,9.344535519125683,2.7372131147540975,9.458224043715846,9.055464480874317,13.260382513661202,5.435136612021859,9.950300546448087,6.927732240437158,8.146284153005464,4.70396174863388,10.833278688524592,8.93693989071038,4.587568306010929,18.143224043715847,7.837622950819672,7.149125683060109,3.9472404371584693,11.514398907103827,8.121748633879783,4.035956284153005,13.065355191256831,3.8818306010928962,12.324180327868852,1.6345901639344254,9.544863387978141,7.043278688524589,6.88256830601093,14.324999999999998,-0.1433333333333328,9.58674863387978,8.866120218579235,12.27218579234973,16.06691256830601,9.681502732240437,4.914508196721312,4.662896174863389,8.354207650273224,14.855,13.334535519125682,9.107704918032788,9.58191256830601,16.731830601092902,6.412021857923498,8.457732240437158,8.445027322404371,8.570218579234972,6.579207650273225,6.630409836065573,8.473852459016394,6.356448087431694,7.95344262295082,8.496202185792349,8.450819672131148,3.884672131147541,8.818360655737706,16.455956284153007,7.022814207650274,7.846502732240437,11.920765027322405,14.109781420765028,12.44308743169399,3.714426229508197,9.25617486338798,7.578251366120218,2.0557377049180325,7.139535519125682,9.896256830601095,7.155273224043717,8.492978142076504,2.9669398907103828,2.2271038251366124,8.674863387978142,4.700874316939891,-0.7651912568306015,1.0706010928961747,11.623797814207652,9.600081967213114,3.9417486338797816,16.344617486338798,8.14964480874317,1.4031147540983602,6.435901639344262
1981,6.0570958904109595,9.572438356164385,14.670027397260272,15.42704109589042,4.234657534246575,8.865808219178081,14.688328767123288,17.519945205479456,12.561452054794522,8.994219178082192,9.284082191780824,16.21150684931507,8.315506849315067,8.18468493150685,10.337315068493151,9.745616438356164,9.025506849315063,15.706630136986302,8.293534246575343,11.19413698630137,5.953123287671234,8.461315068493152,9.72619178082192,9.278575342465754,7.994438356164384,10.412438356164383,11.422301369863014,8.29682191780822,12.418739726027397,8.480438356164385,9.729123287671234,1.7915068493150694,15.16441095890411,3.27427397260274,8.18917808219178,5.943287671232877,9.581232876712328,8.293397260273974,5.561835616438357,8.025260273972602,9.48558904109589,18.938712328767124,8.56745205479452,8.533753424657533,7.863643835616438,6.189835616438356,2.4294246575342466,4.428054794520548,5.001232876712329,8.71613698630137,12.06517808219178,3.7455068493150687,7.477671232876712,9.455013698630136,11.093068493150685,9.829917808219179,9.447178082191781,5.04386301369863,9.634684931506849,9.41131506849315,13.518219178082191,6.405890410958905,10.992465753424657,7.311561643835617,9.651287671232877,6.207671232876713,11.230547945205478,10.471068493150684,5.219534246575342,18.427698630136984,8.68095890410959,8.030219178082193,2.841917808219178,11.874438356164383,8.722000000000001,4.7395068493150685,13.608027397260274,4.460547945205479,13.020547945205479,3.871917808219178,11.07041095890411,9.37150684931507,9.602164383561643,14.737397260273971,0.4242465753424658,9.873643835616438,8.727068493150686,12.893205479452057,16.60145205479452,9.663808219178083,7.612767123287671,7.144109589041097,9.119287671232877,14.791698630136986,14.164027397260273,8.92227397260274,9.367808219178082,17.26731506849315,7.704794520547945,10.635835616438357,8.73254794520548,9.201342465753424,7.883424657534246,7.946602739726028,8.857534246575343,7.320164383561644,8.501506849315069,8.840493150684932,8.878712328767124,6.07931506849315,9.209369863013698,17.07953424657534,8.274630136986302,9.856630136986302,13.561342465753428,15.248547945205477,13.005753424657534,6.0244109589041095,9.418054794520549,8.86441095890411,4.296876712328767,8.372109589041097,9.900356164383561,8.070520547945204,8.92082191780822,5.097753424657534,3.009068493150686,8.915643835616438,5.039534246575343,-0.2074246575342467,0.7339726027397256,12.625287671232876,9.56386301369863,5.977068493150686,16.578109589041098,8.946794520547945,1.9321095890410958,6.406657534246576
1982,4.849534246575343,10.25641095890411,14.696273972602741,15.761999999999999,4.23386301369863,9.615232876712328,15.589671232876714,17.051698630136986,13.12449315068493,9.189616438356165,9.906849315068493,15.826986301369864,8.889671232876712,8.077041095890412,10.05101369863014,10.227068493150684,9.775123287671228,16.533068493150683,9.051753424657536,11.234027397260274,5.902438356164383,9.031698630136987,10.308438356164384,10.157753424657534,8.570684931506849,10.231095890410959,11.50578082191781,8.947068493150685,13.121424657534245,7.1989315068493145,10.347753424657533,2.262027397260274,14.90139726027397,2.11745205479452,8.941232876712329,4.374493150684931,10.392657534246576,8.489178082191781,6.363068493150685,8.892739726027397,10.240520547945206,18.261260273972603,8.781835616438356,9.119698630136986,8.668328767123288,5.283616438356164,2.5898356164383562,5.074794520547946,3.81186301369863,9.176164383561645,12.051589041095891,2.9587671232876724,8.307013698630136,9.716931506849315,8.745041095890409,8.412684931506849,10.107150684931508,4.346520547945205,10.276027397260274,10.10986301369863,14.208356164383563,6.834465753424658,11.276849315068494,8.262876712328767,9.612712328767124,6.437972602739726,11.619698630136986,10.461397260273973,5.6177534246575345,19.15104109589041,9.334821917808219,8.40027397260274,3.3642465753424657,12.57753424657534,9.179945205479452,4.9153150684931495,14.09331506849315,5.187287671232877,13.631698630136988,2.394246575342465,10.468739726027398,7.552027397260274,8.004547945205479,15.493205479452056,1.0387397260273978,10.495972602739727,9.167643835616438,13.246109589041096,17.334547945205482,10.285013698630136,6.475753424657534,5.996630136986301,9.540438356164383,14.665397260273972,13.79649315068493,9.682739726027396,9.950027397260275,17.418958904109584,8.134109589041097,9.165260273972603,9.580082191780821,9.677397260273972,8.559205479452054,8.46,9.624739726027398,7.97731506849315,8.872958904109588,9.466000000000001,9.646383561643836,5.029397260273972,9.832246575342467,17.665452054794518,8.848575342465752,8.75504109589041,11.394054794520548,15.227972602739726,13.562164383561646,4.716246575342465,10.135397260273972,9.412876712328767,2.90172602739726,9.151698630136986,10.593260273972602,8.99772602739726,9.499917808219179,3.988739726027397,3.7313698630136996,9.844493150684931,5.63054794520548,0.13972602739726028,1.9801095890410956,11.151890410958904,10.298,5.274986301369863,16.445890410958903,10.012082191780822,2.890575342465753,7.392493150684932
1983,5.7532876712328775,10.419068493150686,14.643890410958905,15.625342465753437,5.156767123287671,9.85027397260274,15.120712328767121,16.807561643835616,13.041068493150684,9.41131506849315,9.914,15.90558904109589,9.346356164383561,8.651643835616438,10.6993698630137,10.30854794520548,9.892575342465754,16.09427397260274,9.150931506849316,11.694739726027397,7.008164383561644,9.5086301369863,10.370301369863014,10.049753424657533,9.369013698630138,10.861808219178082,11.436191780821918,9.10350684931507,12.763232876712328,8.299397260273972,10.351698630136987,2.955671232876714,14.817698630136986,3.3387123287671234,9.029972602739726,5.377616438356164,10.32786301369863,8.600767123287671,6.8112876712328765,8.830657534246575,10.213671232876711,18.440246575342467,8.660054794520548,9.464958904109588,8.806438356164385,6.072712328767123,3.58613698630137,5.470438356164384,4.828191780821918,9.230712328767124,12.57531506849315,4.05841095890411,8.733945205479452,9.926767123287673,10.159315068493152,9.485178082191782,10.16841095890411,5.185561643835617,10.320931506849316,10.096958904109588,13.555972602739727,7.653753424657534,11.569068493150684,7.737068493150685,10.304767123287672,7.284,11.297671232876711,10.971972602739726,6.327260273972602,18.689835616438355,9.445726027397258,8.366657534246576,2.763123287671233,12.138986301369865,9.213671232876711,5.301123287671232,14.067397260273973,5.22041095890411,13.448767123287672,3.583424657534246,10.93358904109589,8.758356164383562,9.507342465753425,15.060821917808221,1.7496712328767121,10.556164383561644,9.39854794520548,13.151780821917807,16.913068493150686,10.375287671232876,7.350739726027397,7.228191780821918,9.599835616438355,14.601753424657533,13.677534246575341,9.768739726027396,10.054109589041095,17.246876712328767,8.795068493150685,10.13468493150685,9.464246575342464,9.728739726027397,9.108849315068493,8.937205479452055,9.571972602739725,8.628520547945206,9.039753424657535,9.793780821917808,9.798219178082192,5.93172602739726,9.83504109589041,17.123068493150683,9.330164383561645,9.881780821917808,12.097068493150685,15.348273972602739,13.38227397260274,5.753041095890412,10.189616438356165,9.915123287671232,3.9880000000000004,9.587260273972602,10.521205479452053,9.065917808219176,9.475095890410959,4.968684931506848,4.1856986301369865,9.704054794520548,5.161068493150686,0.5252602739726022,1.3863013698630138,11.868575342465755,10.410602739726027,6.258931506849316,16.901589041095892,9.931068493150685,3.2457808219178084,7.9126301369863015
1984,4.543606557377049,10.029808743169399,13.67,14.77814207650273,4.824617486338798,8.577622950819674,14.489344262295083,17.18404371584699,12.139836065573771,8.314098360655738,8.790464480874316,15.606530054644809,8.14896174863388,7.290710382513661,9.455437158469946,9.181420765027323,9.632240437158478,15.670573770491805,8.930464480874317,11.145683060109288,5.567950819672131,8.406256830601095,9.712868852459016,9.181830601092894,8.046912568306011,9.830136612021859,10.737841530054645,8.849699453551914,12.00412568306011,7.096092896174864,9.739562841530056,-1.0610655737704928,14.579398907103824,0.7249453551912564,8.72155737704918,3.978005464480874,9.442103825136613,7.535655737704919,6.804726775956284,7.920765027322404,9.301420765027322,17.554999999999996,8.8098087431694,8.240327868852459,8.833852459016393,4.231748633879782,-0.22625683060109336,5.293825136612022,3.6362568306010927,8.405355191256831,11.788633879781418,1.705245901639344,8.263961748633882,9.686666666666666,9.492322404371583,8.621448087431693,9.45948087431694,2.7639617486338803,9.643087431693989,9.148032786885246,13.756830601092895,6.926475409836065,10.57084699453552,7.525437158469945,9.02554644808743,6.170054644808743,11.460437158469947,9.833196721311475,5.953087431693989,18.345245901639345,8.385273224043717,7.460819672131149,3.581065573770492,12.100054644808745,8.381256830601092,3.6993715846994535,13.05622950819672,4.0252732240437155,12.79724043715847,1.1403825136612031,10.083278688524588,8.15997267759563,7.584672131147542,14.71155737704918,-1.2899726775956286,9.897896174863389,9.173879781420766,12.301311475409836,16.599945355191256,10.23431693989071,5.984426229508197,5.774071038251368,8.631830601092895,14.883907103825138,13.465983606557375,9.468196721311475,9.840928961748633,16.645683060109295,7.629180327868852,9.42153005464481,8.582923497267759,8.808551912568307,7.874699453551912,7.70931693989071,8.829918032786885,7.66620218579235,7.9145901639344265,8.712459016393442,8.59934426229508,4.274890710382514,8.885437158469946,16.943087431693986,8.112349726775957,8.73773224043716,11.752131147540986,14.29773224043716,12.525519125683061,4.283333333333333,9.448825136612022,8.470491803278689,1.9063114754098358,8.227650273224045,10.24016393442623,7.810245901639344,8.39655737704918,3.803224043715846,0.36057377049180334,8.817868852459016,4.680519125683061,-1.4403005464480871,1.3201639344262284,11.36308743169399,10.204453551912568,4.41792349726776,16.000956284153006,8.628989071038252,-0.2584699453551913,7.622568306010928
1985,3.4740821917808224,9.227753424657534,14.860027397260277,15.198602739726034,2.532602739726028,8.147123287671231,15.333479452054792,17.483561643835618,12.566328767123288,8.224575342465753,8.272684931506848,16.053561643835614,7.2326575342465755,5.9651506849315075,8.91731506849315,8.898739726027397,8.681205479452045,16.346465753424656,8.048739726027398,10.05758904109589,4.164109589041096,7.614000000000001,8.816684931506849,8.284054794520548,6.936739726027397,9.267287671232877,11.22619178082192,8.098739726027397,12.726575342465752,6.11117808219178,8.84227397260274,0.29065753424657514,14.978547945205479,1.1232328767123292,7.968191780821917,3.4074520547945206,8.555945205479453,7.2811232876712335,4.155397260273973,7.788739726027397,8.484575342465753,18.462986301369863,8.488438356164384,7.8303013698630135,7.7120273972602735,4.381205479452055,0.8238904109589045,3.0399726027397254,3.001287671232876,8.232191780821918,11.389589041095892,1.5681369863013692,6.6380547945205475,9.02613698630137,8.365534246575344,7.017534246575343,8.58005479452055,3.0183013698630137,8.691342465753424,8.427369863013698,14.194520547945206,5.05641095890411,10.324465753424658,7.731178082191781,7.886630136986301,4.607643835616439,11.452301369863013,9.242027397260275,3.8421095890410957,18.957643835616437,8.313369863013698,7.333616438356164,3.918383561643836,12.496054794520546,7.86923287671233,4.596575342465753,13.770575342465754,4.291643835616439,13.29545205479452,1.313972602739726,8.631150684931505,6.908438356164384,7.509424657534247,15.339369863013701,-0.7044657534246581,8.93350684931507,8.536027397260275,12.706356164383564,17.161178082191782,9.210958904109589,5.212438356164384,5.005671232876713,8.445506849315068,15.28304109589041,13.839397260273973,8.65539726027397,9.021095890410958,17.124383561643846,6.5035342465753425,7.834,7.7950410958904115,8.34372602739726,6.815178082191781,6.872410958904109,8.048712328767124,6.471835616438357,7.614657534246575,7.991205479452055,8.012602739726026,4.182356164383561,8.215808219178083,17.51060273972603,7.174794520547945,7.225506849315069,11.072849315068494,14.947534246575344,12.987945205479454,3.933041095890411,8.491780821917809,7.66827397260274,1.982931506849315,7.355534246575344,9.563123287671234,7.332520547945205,7.971013698630137,2.4145205479452057,1.541068493150685,7.94613698630137,5.0161643835616445,-0.9987671232876705,1.6631780821917812,11.338602739726028,9.165342465753424,4.425123287671233,16.693972602739723,8.221835616438357,0.9134794520547941,5.390410958904109
1986,4.2842739726027395,9.171835616438356,14.342493150684932,15.435315068493152,3.8215616438356173,8.452109589041095,15.284383561643834,17.574191780821916,12.712410958904112,8.541479452054796,9.166712328767122,15.595917808219179,7.987589041095891,7.427013698630137,9.604657534246575,9.538383561643837,8.585397260273965,16.46832876712329,7.875013698630137,11.251068493150683,5.422493150684931,8.043561643835616,9.308136986301369,8.994246575342466,7.753342465753425,10.032575342465753,11.34586301369863,7.8940821917808215,12.602054794520548,7.193753424657534,9.22827397260274,0.7629041095890412,14.497589041095893,0.786493150684931,7.71186301369863,3.9146849315068497,9.272904109589042,8.00323287671233,5.6200821917808215,8.369671232876714,9.173424657534246,18.00550684931507,8.693780821917807,8.610876712328768,7.755150684931506,3.816082191780822,0.7298904109589041,4.326219178082193,2.7565205479452053,8.782575342465753,11.833260273972604,1.6229863013698618,7.245589041095891,8.691589041095892,9.674575342465754,8.711150684931507,9.01241095890411,2.4083835616438356,9.170657534246576,9.10241095890411,14.113671232876712,6.312684931506849,10.576082191780822,7.84613698630137,9.462301369863011,5.712904109589041,11.614356164383562,9.974383561643835,5.042438356164384,18.83178082191781,8.508712328767123,7.894164383561644,3.62813698630137,12.569095890410956,8.350109589041097,4.731972602739726,14.016136986301369,4.722438356164384,13.142739726027399,0.7334246575342473,10.316273972602739,8.279287671232877,8.193616438356164,15.418575342465756,0.7554794520547948,9.481479452054794,8.372575342465755,12.504575342465754,17.112027397260274,8.985095890410959,6.12,5.731424657534247,8.762520547945204,15.043369863013698,13.351506849315069,8.511342465753424,8.879643835616438,17.189424657534246,7.765561643835618,9.538602739726027,8.386027397260273,8.75972602739726,7.595205479452055,7.633013698630138,8.51627397260274,7.147232876712329,8.234602739726027,8.410027397260274,8.370054794520547,3.7086575342465755,8.888712328767124,17.292465753424658,7.93635616438356,9.001315068493149,12.370301369863013,14.84249315068493,13.179972602739728,3.598383561643836,9.039917808219178,8.252712328767124,1.444876712328767,7.96523287671233,9.475013698630136,7.857232876712328,8.74441095890411,3.2889041095890406,2.0044383561643837,8.597397260273974,4.493671232876713,0.40871232876712377,1.6052054794520538,11.845041095890412,8.976849315068492,4.024547945205479,16.43076712328767,8.623698630136987,1.340876712328767,6.104904109589041
1987,2.557780821917808,9.475369863013698,14.965068493150685,15.560410958904093,2.1461095890410964,7.65,15.514383561643836,17.173342465753425,12.662191780821917,8.234986301369863,8.39531506849315,16.531397260273973,7.284493150684931,5.466136986301369,9.123561643835618,8.980191780821917,8.881643835616439,16.36501369863014,8.208493150684932,10.556904109589043,3.743643835616439,7.4735068493150685,9.110520547945207,8.552438356164384,6.652630136986302,9.605808219178083,11.26827397260274,8.167123287671233,12.660520547945206,4.76668493150685,9.08882191780822,0.6152054794520546,15.54295890410959,1.2496712328767126,8.088054794520547,2.517863013698631,8.865835616438357,7.827123287671232,4.1639178082191775,8.43427397260274,8.771753424657533,18.567424657534247,8.652219178082193,7.600328767123289,7.997068493150684,2.9330958904109585,1.2720273972602736,2.8111506849315067,1.8600547945205481,8.550109589041096,11.768931506849315,1.788712328767123,6.522054794520549,9.363534246575341,7.354273972602738,6.0486301369863025,8.858575342465754,2.7955342465753428,9.012219178082193,8.698958904109588,14.07364383561644,4.802191780821917,10.853068493150685,7.769671232876713,8.15641095890411,4.234602739726028,11.858219178082193,9.443123287671234,3.576054794520547,18.967753424657534,8.577972602739726,7.789643835616438,5.156986301369863,12.372301369863015,8.156164383561643,5.114246575342465,13.87054794520548,4.562767123287672,13.365643835616439,1.34386301369863,8.691945205479453,5.832328767123287,5.8620821917808215,15.350547945205479,-0.673479452054794,9.267561643835617,8.510821917808219,13.217342465753424,17.23893150684932,9.469945205479451,3.7744383561643837,3.638739726027397,8.782931506849316,14.969041095890411,14.564794520547943,8.78641095890411,9.117232876712329,17.385479452054796,6.577780821917808,7.13509589041096,8.010246575342466,8.550931506849315,6.718109589041095,6.892383561643836,8.38841095890411,5.945178082191782,7.606438356164383,7.793698630136986,7.673780821917807,2.785068493150685,8.500356164383561,17.451095890410958,7.234383561643837,6.6487123287671235,10.639260273972603,15.32531506849315,13.141013698630138,2.6495890410958904,8.849561643835617,7.62213698630137,1.5532876712328771,7.177616438356164,9.783780821917809,6.992054794520548,8.082602739726028,1.720219178082192,2.0434246575342465,8.15772602739726,4.692739726027397,-0.5209041095890408,0.7473698630136979,11.127972602739726,9.51109589041096,3.247835616438356,16.900410958904107,7.844794520547944,1.3341369863013688,5.296383561643836
1988,5.083879781420764,10.091612021857925,14.304863387978141,15.74046448087432,4.785956284153006,9.646120218579235,15.579754098360658,17.49117486338798,13.218934426229508,9.626448087431694,10.2327868852459,15.944781420765029,8.787732240437158,7.3472404371584705,10.162513661202185,10.60964480874317,9.602513661202186,16.527103825136614,8.948524590163935,11.14775956284153,5.833306010928961,9.310846994535519,10.553360655737704,10.237868852459016,8.50844262295082,10.384945355191256,11.773743169398905,8.882349726775955,13.123087431693987,6.813606557377049,10.562076502732241,1.6140437158469945,14.99617486338798,2.835601092896175,8.801311475409836,4.645628415300547,10.516475409836065,8.833879781420766,6.407595628415302,9.095573770491802,10.419562841530055,18.398606557377047,8.795464480874317,9.15633879781421,8.83551912568306,4.572786885245901,2.249590163934426,5.350956284153006,3.908196721311475,9.612377049180328,12.248142076502734,3.204945355191257,8.553989071038252,9.744262295081967,9.044590163934425,8.004125683060108,10.355109289617486,3.903551912568306,10.4924043715847,10.347704918032788,13.968879781420767,6.893852459016394,11.451775956284154,7.927322404371585,9.04464480874317,6.245546448087431,11.976010928961749,10.419754098360656,5.88191256830601,19.19382513661202,9.501994535519126,8.709426229508196,3.5987431693989067,12.385846994535518,9.45016393442623,5.190218579234973,14.282021857923496,5.439371584699454,13.77825136612022,2.8090710382513664,10.049262295081968,7.496092896174862,7.543825136612022,15.473442622950818,0.4575136612021853,10.743360655737703,9.260655737704917,13.20344262295082,17.397349726775953,10.101775956284152,6.318415300546448,5.585109289617486,9.828852459016392,15.142595628415302,13.882021857923496,9.531912568306012,9.962786885245903,17.385245901639347,7.88344262295082,8.870464480874316,9.674808743169399,9.903579234972678,8.565573770491802,8.285464480874317,9.780765027322404,7.978715846994535,9.196857923497268,9.667131147540983,9.665546448087431,4.539125683060108,10.106420765027321,17.80065573770492,8.780546448087433,8.44658469945355,11.544918032786887,15.070054644808742,13.744672131147542,4.480081967213113,10.343770491803278,9.390956284153008,3.0309289617486344,9.042786885245901,10.453524590163934,8.767158469945356,9.837650273224044,4.212732240437157,2.718442622950819,9.883278688524593,5.448032786885245,0.2852732240437167,2.333251366120218,11.770081967213116,10.061311475409836,4.882131147540984,16.77081967213115,9.852185792349728,1.9401912568306012,7.634453551912569
1989,6.8140547945205485,11.04641095890411,15.43967123287671,16.072383561643836,6.439534246575343,10.357397260273972,15.163890410958903,17.116986301369863,13.089972602739726,9.844602739726028,10.275424657534247,16.715945205479454,9.57323287671233,9.333671232876712,10.483945205479452,10.652739726027397,10.299232876712326,16.16668493150685,9.461123287671233,12.052712328767123,7.564849315068494,9.777452054794521,11.055287671232877,10.835808219178082,9.691534246575342,10.808876712328766,11.947917808219177,9.55917808219178,12.559424657534247,8.93572602739726,11.041397260273971,2.280931506849315,15.997616438356163,2.7623561643835615,9.43972602739726,5.916438356164384,11.059808219178082,8.83468493150685,7.688876712328769,9.240876712328767,10.969753424657535,19.106575342465753,8.904246575342466,9.520767123287671,9.03882191780822,5.824657534246575,2.3176438356164386,6.666739726027398,4.850602739726027,9.628054794520548,12.329808219178082,3.33958904109589,9.40531506849315,10.348767123287672,10.863972602739725,10.130493150684933,10.721917808219178,4.802493150684931,10.888191780821916,10.850164383561642,13.613287671232875,8.32145205479452,11.365479452054794,7.901479452054795,10.950410958904108,7.872191780821917,11.578575342465754,10.913150684931507,7.382931506849315,18.948657534246575,9.589808219178083,8.5393698630137,3.5200547945205485,12.094246575342465,9.722657534246576,5.628520547945205,14.350246575342466,5.058246575342467,13.154054794520547,2.8866575342465755,11.554273972602742,9.442383561643837,9.366027397260273,15.154657534246578,1.3687397260273977,11.199753424657533,9.94282191780822,14.006904109589042,17.134,11.033123287671232,8.353369863013699,7.178821917808219,9.978575342465751,15.101342465753424,15.153506849315068,10.218821917808219,10.439534246575342,17.61443835616439,9.300438356164383,10.781534246575344,10.333397260273973,10.263287671232877,9.478958904109588,9.173013698630138,10.389808219178082,9.385479452054796,9.276547945205479,10.026383561643835,10.207315068493148,5.722739726027396,10.566493150684932,17.202575342465757,9.549260273972603,10.495671232876713,12.526027397260274,15.869397260273972,13.665479452054793,5.672684931506849,10.72186301369863,10.048712328767126,3.659780821917808,10.003890410958904,11.398438356164384,9.388767123287671,9.911945205479453,5.83786301369863,3.4074520547945206,10.483698630136987,6.166465753424658,0.6700821917808217,3.122821917808219,12.05235616438356,10.993150684931507,5.685397260273973,17.242,10.341150684931506,2.861698630136986,8.661945205479451
