,Lat,Lon,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Moscow,55.7522,37.6155,0.0,0.051809064080310385,0.10361812816062166,0.15542719224093204,0.20723625632124243,0.2590453204015537,0.3108543844818641,0.36266344856217536,0.41447251264248575,0.46628157672279613,0.5639777983908205,0.6129699647206355,0.6182165400631012,0.6257411975973479,0.6330387685233161,0.7101712709561321,0.7849185312301055,0.9083753805451726,1.059208592237666,1.0811205710534448,1.0625644066698836,1.082060982012349,1.0912326677672715,1.133814627494795,1.2277235316043837,1.2902728466728774,1.3363586053374474,1.3963272407143474,1.4615286105773615,1.5259128571527034,1.6395187886906966,1.6060809864896326,1.657890050569943,1.7096991146502534,1.7615081787305646,1.813317242810875,1.8651263068911854,1.9169353709714967,1.968744435051807,2.0205534991321175,2.0723625632124287
London,51.5,-0.1167,0.0,0.03476323547471871,0.06952647094943742,0.10428970642415614,0.13905294189887485,0.17381617737359356,0.20857941284831227,0.24334264832303099,0.2781058837977497,0.3128691192724684,0.27076321639209233,0.32552253969473455,0.3728526766810365,0.4111650054481597,0.44893862435676013,0.5131937501146773,0.610544435046183,0.7074060788817995,0.7615977099919125,0.7677400260335325,0.7251420808280518,0.732585231512985,0.7787071680351794,0.7850982826395647,0.8089660908587426,0.8365674607217564,0.8789004703033125,0.9201834798848694,0.9428067675561014,0.9589807401588395,1.001171341057768,1.0776602997162783,1.112423535190997,1.1471867706657157,1.1819500061404327,1.2167132416151532,1.25147647708987,1.2862397125645888,1.3210029480393075,1.3557661835140262,1.390529418988745
Madrid,40.4,-3.6834,0.0,0.01850176480387944,0.037003529607760655,0.055505294411640094,0.07400705921551953,0.09250882401939897,0.11101058882328019,0.12951235362715963,0.14801411843103907,0.16651588323492028,0.1511330984574517,0.1863087833889594,0.21003686558074008,0.24024645462183614,0.2852424442168662,0.30720487216805914,0.33702952970230626,0.35032336531874364,0.33580756698054515,0.3442499878204277,0.3348095768615238,0.3508205357656351,0.39681883466525214,0.4338315171265137,0.46341233904432144,0.4656157637018552,0.4721595188482013,0.4969060137205705,0.5141690274192001,0.5395621781041324,0.6183434308395128,0.5735547089202786,0.592056473724158,0.6105582385280375,0.6290600033319187,0.6475617681357981,0.6660635329396776,0.684565297743557,0.7030670625474382,0.7215688273513177,0.7400705921551971
Barcelona,41.3833,2.1834,0.0,0.027479684739864396,0.05495936947972879,0.08243905421959141,0.10991873895945581,0.1373984236993202,0.1648781084391846,0.192357793179049,0.21983747791891162,0.247317162658776,0.26169745627119667,0.3027305201232835,0.322519561219174,0.3499661365616369,0.39844635214663704,0.4342868417042389,0.47049574581382814,0.5049519101973896,0.5130847419961775,0.5190333272196206,0.5072888066716779,0.5213264779045534,0.57474919479953,0.6207499938862888,0.6557945144342341,0.6832712267630008,0.7246734799256593,0.7577312125403814,0.7822099796636657,0.8120695687047608,0.8695585948977715,0.8518702269357874,0.87934991167565,0.9068295964155126,0.9343092811553788,0.9617889658952414,0.9892686506351076,1.0167483353749702,1.0442280201148328,1.071707704854699,1.0991873895945616
Saint Petersburg,59.939,30.316,0.0,0.05082950681920373,0.10165901363840746,0.1524885204576112,0.20331802727681492,0.25414753409601865,0.3049770409152224,0.3558065477344261,0.40663605455362983,0.45746556137283356,0.5365117108246125,0.6101508585901634,0.6335686668093414,0.6336200366723546,0.6238367351527803,0.6921561733592334,0.7951212418523834,0.9225958993866303,1.0550512927543974,1.066740932697507,1.0160053162591502,1.0150128505057259,1.0172762422266626,1.0526423736736277,1.1570190860023946,1.243544428468148,1.326264791144995,1.3973563866985543,1.4745180305341714,1.554514605876637,1.6556117234599608,1.5757147113953174,1.626544218214521,1.6773737250337248,1.7282032318529286,1.7790327386721323,1.829862245491336,1.8806917523105398,1.9315212591297435,1.9823507659489472,2.033180272768151
Berlin,52.5218,13.4015,0.0,0.03800883900887442,0.07601767801774706,0.11402651702662148,0.15203535603549412,0.19004419504436854,0.22805303405324118,0.2660618730621156,0.30407071207099,0.34207955107986265,0.35621087805832197,0.43574953926050775,0.4533694022742072,0.45806118309612565,0.481074767571009,0.540369173963704,0.6213164342376754,0.740309584922608,0.8325726959339121,0.8347036151643934,0.7704666288630246,0.7531296425616532,0.7730471738139926,0.7750516913677021,0.8081441571211254,0.8627174447923593,0.9676447241545869,1.0594398117359933,1.1173774829688679,1.1826911815990062,1.2616445100912923,1.1782740092750839,1.2162828482839583,1.254291687292831,1.2923005263017053,1.330309365310578,1.3683182043194524,1.406327043328325,1.4443358823371995,1.482344721346072,1.5203535603549465
Rome,41.896,12.4833,0.0,0.03922472620750206,0.07844945241500412,0.1176741786225044,0.15689890483000646,0.19612363103750852,0.23534835724501058,0.27457308345251086,0.3137978096600129,0.353022535867515,0.36800796256585677,0.45208989796521415,0.4879734596090497,0.521956336321379,0.5858192807782974,0.6138137320845338,0.6228342800297391,0.6537452389338494,0.6825850192317748,0.7203234296666885,0.7579035666529901,0.803463840625593,0.8591133989757687,0.8925485737642997,0.917069806641015,0.9645040532163556,1.0335592089166301,1.0769732687264995,1.11649107694568,1.1668677892744466,1.2258856975519254,1.2159665124325532,1.2551912386400534,1.2944159648475537,1.3336406910550576,1.3728654172625578,1.4120901434700617,1.451314869677562,1.4905395958850622,1.529764322092566,1.5689890483000664
Athens,37.9833,23.7333,0.0,0.03952417261011121,0.07904834522022597,0.11857251783033718,0.15809669044045194,0.19762086305056314,0.23714503566067435,0.2766692082707891,0.3161933808809003,0.3557175534910151,0.44224337568460825,0.47215007154507305,0.5000466468875402,0.5316932222300075,0.564063715904684,0.5787266753327849,0.5781903739629222,0.6070561273875761,0.660230431227685,0.710654735067795,0.7706218583554652,0.8180239131499825,0.8746959900269964,0.943435875123189,0.9808153271779823,0.993600943616336,1.0262900258829752,1.0806017108893364,1.129085957464678,1.152200341026326,1.1884102416756015,1.22524935091349,1.2647735235236048,1.304297696133716,1.3438218687438308,1.383346041353942,1.4228702139640568,1.462394386574168,1.5019185591842792,1.541442731794394,1.5809669044045052
Milan,45.47,9.205,0.0,0.05583626454413526,0.11167252908827052,0.16750879363240756,0.22334505817654282,0.2791813227206781,0.33501758726481334,0.3908538518089504,0.44669011635308564,0.5025263808972209,0.48438948101501644,0.566328284443415,0.6221960926625947,0.6921981474571126,0.7869371810674135,0.8581255297462071,0.9200042968694948,1.0061036119379878,1.076133410201333,1.129578276957826,1.1611001947660444,1.1966296468208384,1.2620369658566961,1.303924421878854,1.3345812711939224,1.388435380782962,1.447398512379639,1.475832876853028,1.506813013839329,1.557396575483164,1.6383632765043181,1.7309242008682073,1.7867604654123426,1.8425967299564778,1.898432994500613,1.9542692590447501,2.0101055235888854,2.0659417881330207,2.121778052677156,2.177614317221291,2.233450581765428
Stuttgart,48.78,9.2,0.0,0.03650459848672938,0.07300919697345698,0.10951379546018636,0.14601839394691396,0.18252299243364334,0.21902759092037272,0.2555321894071003,0.2920367878938297,0.3285413863805573,0.2985750156704903,0.36574371093211155,0.4061245328499208,0.4505272725759486,0.5035689785419617,0.5647606845079771,0.631358629713457,0.7175175338230453,0.7728726577095646,0.7762216172125207,0.7425962747467665,0.7479668226919749,0.7874981480157253,0.7935301582709844,0.8025452267641349,0.8376233089559157,0.9179157372813886,0.9835348779356288,1.0384362477986429,1.0978759738260404,1.1713231579327665,1.1316425530885876,1.168147151575317,1.2046517500620446,1.241156348548774,1.2776609470355016,1.314165545522231,1.3506701440089586,1.387174742495688,1.4236793409824173,1.460183939469145
